Name,Color,Product_Category,Rating,Standard_Price_$,Sale_Price_$,Sale_%,Image
Striped Art Tee,Petal Pink,baby-girl-tops-shirts,Not Rated,46.0,17.99,39.11,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwbde15035/images/main/62578/62578_B42_90_01.jpg?sw=369&q=90
Corduroy Twirl Dress,Sunshine,girls-clothing-dresses,4.5,46.0,17.99,39.11,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd2c5bb5c/images/main/62947/62947_M07_110_01.jpg?sw=369&q=90
Star Wars™ Long John Pajamas In Organic Cotton,Stormtrooper Mummy,pajamas-kids,4.5,46.0,17.99,39.11,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4e8393de/images/main/57571/57571_TE9_110_01.jpg?sw=369&q=90
Footed Sleeper In Organic Cotton,Morning Sky Ship,pajamas-baby,4.5,46.0,17.99,39.11,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2e170b52/images/main/58328/58328_PK5_60_01.jpg?sw=369&q=90
Baby Snap Footed Sleeper In Organic Cotton,Fancy Frogs,pajamas-baby,5.0,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw49ebf22d/images/main/57436/57436_Ql7_60_01.jpg?sw=369&q=90
Bright Basics Tee In Organic Cotton,Hanna Red,baby-girl-tops-shirts,5.0,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4cf8e48a/images/main/60561/60561_M23_60_01.jpg?sw=369&q=90
Rugged Rugby,Navy/Hanna Red,boys-clothing-tops-shirts,4.5,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw1e7efb80/images/main/51897/51897_GA5_110_01.jpg?sw=369&q=90
Disney Princess Print Leggings,Rapunzel,girls-clothing-pants-leggings-shorts,5.0,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw245d81e3/images/main/62355/62355_GD8_110_01.jpg?sw=369&q=90
Footed Sleeper In Organic Cotton,Grey Moon Geo,pajamas-baby-cat,4.5,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw946687e1/images/main/58328/58328_PL2_60_01.jpg?sw=369&q=90
Baby Bodysuit In Organic Cotton,Snail Tale,root,5.0,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe4109dab/images/main/57433/57433_QG3_60_01.jpg?sw=369&q=90
Footed Sleeper In Organic Cotton,Grey Moon Geo,pajamas-baby-cat,4.5,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw946687e1/images/main/58328/58328_PL2_60_01.jpg?sw=369&q=90
Baby Bodysuit In Organic Cotton,Snail Tale,root,5.0,44.0,17.99,40.89,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe4109dab/images/main/57433/57433_QG3_60_01.jpg?sw=369&q=90
Baby Snap Footed Sleeper In Organic Cotton,Speedy Squirrels,pajamas-baby,5.0,36.0,17.99,49.97,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe2d81550/images/main/57436/57436_QG4_60_01.jpg?sw=369&q=90
UV Dress,Multi,girls-clothing-dresses,5.0,36.0,17.99,49.97,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd2f77178/images/main/65293/65293_990_110_01.jpg?sw=369&q=90
